fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000241	MMT00048665	0.381603242713721	undirected	NA	NA
MMT00000241	MMT00048682	0.0204112318954899	undirected	NA	Klf3
MMT00000241	MMT00048812	0.373707856873812	undirected	NA	NA
MMT00000241	MMT00049029	0.419533905905236	undirected	NA	LOC14433
MMT00000241	MMT00049130	0.120373254491265	undirected	NA	NA
MMT00000241	MMT00049213	0.344397960586005	undirected	NA	NA
MMT00000241	MMT00049308	0.444950434374239	undirected	NA	NA
MMT00000241	MMT00049472	0.284023840870541	undirected	NA	NA
MMT00000241	MMT00050817	0.18317560325883	undirected	NA	NA
MMT00000241	MMT00050838	0.0669359507125644	undirected	NA	Mlf2
MMT00000241	MMT00051462	0.285392728497707	undirected	NA	NA
MMT00000241	MMT00051699	0.0878698540632143	undirected	NA	Tcn2
MMT00000241	MMT00051968	0.196962425940833	undirected	NA	NA
MMT00000241	MMT00052902	0.377023337222787	undirected	NA	NA
MMT00000241	MMT00053214	0.300539629477802	undirected	NA	NA
MMT00000241	MMT00053707	0.371164959659299	undirected	NA	NA
MMT00000241	MMT00054037	0.0249918428296175	undirected	NA	NA
MMT00000241	MMT00054062	0.256549816916483	undirected	NA	NA
MMT00000241	MMT00054175	0.212181118705805	undirected	NA	NA
MMT00000241	MMT00054192	0.333992480854403	undirected	NA	NA
MMT00000241	MMT00054225	0.0441490875545733	undirected	NA	Slc25a1
MMT00000241	MMT00055016	0.300567720903825	undirected	NA	NA
MMT00000241	MMT00057439	0.420213686768905	undirected	NA	NA
MMT00000241	MMT00057721	0.220776480747113	undirected	NA	NA
MMT00000241	MMT00057734	0.0679813245677561	undirected	NA	Ddx27
MMT00000241	MMT00057793	0.419226886114809	undirected	NA	NA
MMT00000241	MMT00058428	0.438696560916871	undirected	NA	NA
MMT00000241	MMT00058519	0.0965170290537688	undirected	NA	Pdcd6ip
MMT00000241	MMT00058696	0.0282953054110765	undirected	NA	Hoxd11
MMT00000241	MMT00059312	0.0321483051795048	undirected	NA	Msh4
MMT00000241	MMT00059870	0.140896890631446	undirected	NA	NA
MMT00000241	MMT00060321	0.396115712174597	undirected	NA	NA
MMT00000241	MMT00060569	0.0665183896818057	undirected	NA	Gstm6
MMT00000241	MMT00062045	0.0292995923906858	undirected	NA	Ywhah
MMT00000241	MMT00062394	0.449659361897258	undirected	NA	NA
MMT00000241	MMT00062445	0.429590220000357	undirected	NA	NA
MMT00000241	MMT00062559	0.291341043261473	undirected	NA	NA
MMT00000241	MMT00062691	0.337621193864348	undirected	NA	NA
MMT00000241	MMT00063091	0.333176443154296	undirected	NA	NA
MMT00000241	MMT00065054	0.287743749619218	undirected	NA	NA
MMT00000241	MMT00065419	0.0952994937115474	undirected	NA	NA
MMT00000241	MMT00065461	0.359280282748074	undirected	NA	NA
MMT00000241	MMT00065577	0.386797746184519	undirected	NA	NA
MMT00000241	MMT00065790	0.0891104006144588	undirected	NA	Eno1
MMT00000241	MMT00066464	0.0237384570100702	undirected	NA	NA
MMT00000241	MMT00067207	0.346761593792702	undirected	NA	NA
MMT00000241	MMT00067282	0.285991282765315	undirected	NA	NA
MMT00000241	MMT00067853	0.0348112421364957	undirected	NA	D11Wsu68e
MMT00000241	MMT00068427	0.403281526851044	undirected	NA	NA
MMT00000241	MMT00068456	0.335389028140873	undirected	NA	NA
MMT00000241	MMT00068464	0.239697508271479	undirected	NA	NA
MMT00000241	MMT00069495	0.358877762896398	undirected	NA	NA
MMT00000241	MMT00071096	0.318433142217794	undirected	NA	NA
MMT00000241	MMT00071217	0.0560585333013231	undirected	NA	Ap2m1
MMT00000241	MMT00071569	0.270359492640783	undirected	NA	NA
MMT00000241	MMT00072013	0.0272969212156014	undirected	NA	NA
MMT00000241	MMT00072546	0.289053879872532	undirected	NA	NA
MMT00000241	MMT00072612	0.0288608275300955	undirected	NA	Gjb2
MMT00000241	MMT00072782	0.120230537596064	undirected	NA	Gpi1
MMT00000241	MMT00073452	0.450882605350013	undirected	NA	NA
MMT00000241	MMT00073733	0.429419487507096	undirected	NA	NA
MMT00000241	MMT00073890	0.035613307126369	undirected	NA	Mlf2
MMT00000241	MMT00074099	0.358345877565291	undirected	NA	NA
MMT00000241	MMT00074600	0.206471801472037	undirected	NA	NA
MMT00000241	MMT00075271	0.276286163263179	undirected	NA	NA
MMT00000241	MMT00075327	0.0820118748789439	undirected	NA	Eno1
MMT00000241	MMT00075384	0.355724019143311	undirected	NA	NA
MMT00000241	MMT00075578	0.354670982693846	undirected	NA	NA
MMT00000241	MMT00075628	0.275869077898395	undirected	NA	NA
MMT00000241	MMT00075673	0.0730015330182978	undirected	NA	Eva
MMT00000241	MMT00075927	0.0324827696356726	undirected	NA	Scpep1
MMT00000241	MMT00078566	0.347798558370624	undirected	NA	NA
MMT00000241	MMT00078909	0.355757708229024	undirected	NA	NA
MMT00000241	MMT00079592	0.0730873275165037	undirected	NA	Mlf2
MMT00000241	MMT00079617	0.408253882158094	undirected	NA	NA
MMT00000241	MMT00081013	0.431151607142207	undirected	NA	NA
MMT00000241	MMT00081299	0.2112698657786	undirected	NA	Gapds
MMT00000241	MMT00082316	0.31328610219176	undirected	NA	NA
MMT00000268	MMT00000719	0.1181671772717	undirected	NA	Snrpa
MMT00000268	MMT00000792	0.406737868876939	undirected	NA	NA
MMT00000268	MMT00001110	0.191031157493332	undirected	NA	Galt
MMT00000268	MMT00001291	0.440653342014952	undirected	NA	NA
MMT00000268	MMT00001423	0.481422386243911	undirected	NA	NA
MMT00000268	MMT00001545	0.309074263197862	undirected	NA	NA
MMT00000268	MMT00001732	0.411343585705566	undirected	NA	NA
MMT00000268	MMT00002004	0.487452456328644	undirected	NA	LOC14433
MMT00000268	MMT00002048	0.440297008238472	undirected	NA	NA
MMT00000268	MMT00002521	0.434469995166973	undirected	NA	NA
MMT00000268	MMT00003672	0.321076343908881	undirected	NA	Ube2m
